model,overall_score,comprehensiveness,insight,instruction_following,readability,citation_accuracy,effective_citations
qianfan_deepresearch_0430,58.03,59.48,61.48,53.87,54.34,-,-
ZTE-Nebula-DeepResearch-V20260519,57.27,58.37,59.76,54.06,54.66,-,-
Link,57.08,58.24,59.74,53.24,55.05,-,-
zhipu_deep_research,57.06,58.15,60.14,53.47,53.88,-,-
xiaoyi,57.00,58.58,59.38,53.58,53.99,-,-
WhaleCloud-DocChain,56.81,57.13,59.30,53.98,54.97,-,-
cellcog-max,56.67,57.40,60.01,53.25,53.21,-,-
1688AILab-DeepResearch-0428,56.53,57.32,59.27,53.51,53.36,-,-
octen-deepresearch-0508,56.31,56.89,59.00,53.39,53.83,-,-
grep-v5,56.23,56.82,58.92,53.38,53.44,-,-
nvidia-aiq-nemotron-gpt52-updated,55.95,56.90,58.49,52.89,53.43,-,-
1688AILab-DeepResearch-0325,55.39,55.48,57.59,53.38,53.50,-,-
ms_deepresearch_gpt52mixqwen35_09_edit_restart09_think_medium,55.31,56.76,56.79,53.10,52.28,-,-
drb_cellcog,55.31,55.41,58.21,52.50,53.12,-,-
deepinsight,55.24,55.66,58.70,52.53,50.94,-,-
ms_deepresearch,54.97,56.45,56.22,53.25,51.71,-,-
TrajectoryKit,54.92,54.10,57.90,52.91,52.72,-,-
onyx,54.54,54.67,56.43,53.08,52.02,-,-
deepsynth,54.22,54.23,56.09,52.86,51.81,-,-
deepdog,53.52,53.14,56.10,51.83,51.18,-,-
RecallRadar,53.19,53.91,53.53,52.18,52.38,-,-
MindDR-V1.5,52.54,51.54,55.30,50.45,51.26,-,-
tavily-research,52.44,52.84,53.59,51.92,49.21,-,-
thinkdepthai-deepresearch,52.43,52.02,53.88,52.04,50.12,-,-
salesforce-air-deep-research,50.65,50.00,51.09,50.77,50.32,-,-
gensee-search-gpt-5,50.60,50.06,50.76,51.31,49.72,32.94,21.06
gemini-2.5-pro-deepresearch,49.71,49.51,49.45,50.12,50.00,78.30,165.34
langchain-open-deep-research-gpt-5,49.33,49.80,47.34,51.05,48.99,34.74,22.44
openai-deepresearch,46.45,46.46,43.73,49.39,47.22,75.01,39.79
raaa-deep-research,46.13,43.77,48.34,47.21,43.78,-,-
dr-tulu,45.49,44.08,44.65,49.56,42.30,-,-
claude-research,45.00,45.34,42.79,47.58,44.66,-,-
kimi-researcher,44.64,44.96,41.97,47.14,45.59,-,-
doubao-deepresearch,44.34,44.84,40.56,47.95,44.69,52.86,52.62
langchain-open-deep-research,43.44,42.97,39.17,48.09,45.22,49.10,29.49
nvidia-aiq-research-assistant,40.52,37.98,38.39,44.59,42.63,-,-
tongyi-deepresearch-30B-A3B,40.46,39.46,34.44,46.22,44.27,-,-
perplexity-Research,40.46,39.10,35.65,46.11,43.08,82.63,31.20
grok-deeper-search,38.22,36.08,30.89,46.59,42.17,73.08,8.58
sonar-reasoning-pro,37.76,34.96,31.65,44.93,42.42,45.19,9.39
sonar-reasoning,37.75,34.73,32.59,44.42,42.39,52.58,13.37
claude-3-7-sonnet-with-search,36.63,35.95,31.29,44.05,36.07,87.32,24.51
sonar-pro,36.19,33.92,29.69,43.39,41.07,79.72,16.75
gemini-2.5-pro-preview-05-06,31.90,31.75,24.61,40.24,32.76,-,-
gpt-4o-search-preview,30.74,27.81,20.44,41.01,37.60,86.63,5.05
